dish_name,ingredients ,category,preparing_time,cooking_time,flavor,course,state,region,best_seller
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,N
Boondi,"Gram flour, ghee, sugar",vegetarian,80,,sweet,dessert,Rajasthan,West,Y
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,N
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,,30,sweet,dessert,Rajasthan,West,Y
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,Y
Imarti,"Sugar syrup, lentil flour",vegetarian,10,,sweet,dessert,West Bengal,East,N
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,Y
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,N
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,Y
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,,40,sweet,dessert,-1,-1,Y
Laddu,"Gram flour, ghee, sugar",vegetarian,10,s,sweet,dessert,-1,-1,Y
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,Y
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,N
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,N
Phirni,"Rice, sugar, nuts",vegetarian,30,,sweet,dessert,Odisha,East,N
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,Y
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,N
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,N
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,Y
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,,60,sweet,dessert,Maharashtra,West,N
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,Y
Chhena kheeri,"Chhena, sugar, milk",vegetarian,,60,sweet,dessert,Odisha,East,Y
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,N
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,Y
